	id_relation	lautre_noeud	type_relation	poids_relation	sens_relation
259	368757258	::&gt;66:59402&gt;24:327252	0	2.5e-05	sortante
260	368757280	::&gt;66:59402&gt;24:14535897	0	2.5e-05	sortante
261	368757301	asiatique	0	2.5e-05	sortante
262	368757334	::&gt;66:33394&gt;24:327252	0	2.5e-05	sortante
263	368757356	::&gt;66:33394&gt;24:14535897	0	2.5e-05	sortante
264	368757378	Japonais	0	2.5e-05	sortante
265	368757411	::&gt;66:173193&gt;24:327252	0	2.5e-05	sortante
266	368757433	::&gt;66:173193&gt;24:14535897	0	2.5e-05	sortante
267	368757457	nems	0	2.5e-05	sortante
268	368757495	::&gt;66:225916&gt;24:14535919	0	2.5e-05	sortante
269	368757535	rouleau de printemps	0	2.5e-05	sortante
270	368757559	restaurant asiatique	0	2.5e-05	sortante
271	368757578	::&gt;66:225916&gt;24:14535926	0	2.5e-05	sortante
272	368757602	::&gt;66:225916&gt;24:14535924	0	2.5e-05	sortante
273	368762655	étudiant	0	2.5e-05	sortante
274	368762704	::&gt;66:123769&gt;24:14536197	0	2.5e-05	sortante
275	369573180	morceau de viande	0	2.5e-05	sortante
276	369573214	::&gt;66:68439&gt;24:14540306	0	2.5e-05	sortante
277	369573935	viande de cheval	0	2.5e-05	sortante
278	369573970	::&gt;66:225916&gt;24:14540315	0	2.5e-05	sortante
279	369574052	homme	0	2.5e-05	sortante
280	369574081	::&gt;66:74860&gt;24:14540315	0	2.5e-05	sortante
281	369574232	::&gt;66:225916&gt;24:327438	0	2.5e-05	sortante
282	369574238	bananes	0	2.5e-05	sortante
283	369574273	::&gt;66:73893&gt;24:14540327	0	2.5e-05	sortante
284	369736209	poulet	0	2.5e-05	sortante
285	369736233	KFC	0	2.5e-05	sortante
286	369736252	::&gt;66:225916&gt;24:14547497	0	2.5e-05	sortante
287	369736276	::&gt;66:225916&gt;24:14547495	0	2.5e-05	sortante
288	925756	pacager	0	2.6e-05	sortante
289	925758	tondre	0	2.6e-05	sortante
290	925763	annihiler	0	2.6e-05	sortante
291	925788	banquet	0	2.6e-05	sortante
292	8457184	ingérer	0	2.6e-05	sortante
293	29342256	bouffer&gt;130164	0	2.6e-05	sortante
294	54311209	se piffrer	0	2.6e-05	sortante
295	54322514	s'emplir	0	2.6e-05	sortante
296	62038826	béqueter	0	2.6e-05	sortante
297	62477407	briffeter	0	2.6e-05	sortante
